Overall Pick,Round/Pick,Slot,Owner,Day,Time,Date
1,1.01,Mets,Mets,1,9:00 EST,
2,1.02,Mariners,Mariners,1,10:00 EST,
3,1.03,Rangers,Rangers,1,11:00 EST,
4,1.04,Yankees,Yankees,1,12:00 EST,
5,1.05,Rays,Rays,1,1:00 EST,
6,1.06,Twins,Twins,1,2:00 EST,
7,1.07,Angels,Angels,1,3:00 EST,
8,1.08,Brewers,Brewers,1,4:00 EST,
9,1.09,Nationals,Nationals,1,5:00 EST,
10,1.10,Pirates,Pirates,1,6:00 EST,
11,1.11,Phillies,Phillies,2,9:00 EST,
12,1.12,Braves,Braves,2,10:00 EST,
13,1.13,Cardinals,White Sox,2,11:00 EST,
14,1.14,Orioles,Orioles,2,12:00 EST,
15,1.15,Diamondbacks,Diamondbacks,2,1:00 EST,
16,1.16,Guardians,Guardians,2,2:00 EST,
17,1.17,Red Sox,Red Sox,2,3:00 EST,
18,1.18,Reds,Reds,2,4:00 EST,
19,1.19,Athletics,Athletics,2,5:00 EST,
20,1.20,Padres,Padres,2,6:00 EST,
21,1.21,Dodgers,Dodgers,3,9:00 EST,
22,1.22,White Sox,Cardinals,3,10:00 EST,
23,1.23,Blue Jays,Blue Jays,3,11:00 EST,
24,1.24,Rockies,Rockies,3,12:00 EST,
25,1.25,Royals,Royals,3,1:00 EST,
26,1.26,Cubs,Cubs,3,2:00 EST,
27,1.27,Marlins,Marlins,3,3:00 EST,
28,1.28,Giants,Giants,3,4:00 EST,
29,1.29,Astros,Astros,3,5:00 EST,
30,1.30,Tigers,Tigers,3,6:00 EST,
31,2.01,Rays,Rays,4,9:00 EST,
32,2.02,Brewers,Brewers,4,10:00 EST,
33,2.03,Rangers,Rangers,4,11:00 EST,
34,2.04,Nationals,Nationals,4,12:00 EST,
35,2.05,Yankees,Yankees,4,1:00 EST,
36,2.06,Pirates,Pirates,4,2:00 EST,
37,2.07,Twins,Twins,4,3:00 EST,
38,2.08,Mariners,Mariners,4,4:00 EST,
39,2.09,Phillies,Rays,4,5:00 EST,
40,2.10,Braves,Braves,4,6:00 EST,
41,2.11,Angels,Angels,5,9:00 EST,
42,2.12,Mets,Mets,5,10:00 EST,
43,2.13,Cardinals,Angels,5,11:00 EST,
44,2.14,Diamondbacks,Diamondbacks,5,12:00 EST,
45,2.15,Orioles,Twins,5,1:00 EST,
46,2.16,Guardians,Guardians,5,2:00 EST,
47,2.17,Red Sox,Red Sox,5,3:00 EST,
48,2.18,Reds,Reds,5,4:00 EST,
49,2.19,Athletics,Red Sox,5,5:00 EST,
50,2.20,Padres,Padres,5,6:00 EST,
51,2.21,Dodgers,Dodgers,6,9:00 EST,
52,2.22,White Sox,Rangers,6,10:00 EST,
53,2.23,Blue Jays,Blue Jays,6,11:00 EST,
54,2.24,Rockies,Rockies,6,12:00 EST,
55,2.25,Royals,Rays,6,1:00 EST,
56,2.26,Cubs,Dodgers,6,2:00 EST,
57,2.27,Marlins,Padres,6,3:00 EST,
58,2.28,Giants,Nationals,6,4:00 EST,
59,2.29,Astros,Astros,6,5:00 EST,
60,2.30,Tigers,Tigers,6,6:00 EST,
61,C2.01,Braves,Braves,7,9:00 EST,
62,C2.02,White Sox,White Sox,7,10:00 EST,
63,C2.03,Royals,Royals,7,11:00 EST,
64,C2.04,Cubs,Cubs,7,12:00 EST,
65,C2.05,Astros,Astros,7,1:00 EST,
66,C2.06,Tigers,Tigers,7,2:00 EST,
67,3.01,Rays,Yankees,7,3:00 EST,
68,3.02,Brewers,Brewers,7,4:00 EST,
69,3.03,Rangers,Rangers,7,5:00 EST,
70,3.04,Nationals,Nationals,7,6:00 EST,
71,3.05,Yankees,Yankees,8,9:00 EST,
72,3.06,Pirates,Pirates,8,10:00 EST,
73,3.07,Twins,Twins,8,11:00 EST,
74,3.08,Mariners,Mariners,8,12:00 EST,
75,3.09,Phillies,Phillies,8,1:00 EST,
76,3.10,Braves,Braves,8,2:00 EST,
77,3.11,Angels,Angels,8,3:00 EST,
78,3.12,Mets,Rangers,8,4:00 EST,
79,3.13,Cardinals,Cardinals,8,5:00 EST,
80,3.14,Diamondbacks,Rays,8,6:00 EST,
81,3.15,Orioles,Orioles,9,9:00 EST,
82,3.16,Guardians,Angels,9,10:00 EST,
83,3.17,Red Sox,Red Sox,9,11:00 EST,
84,3.18,Reds,Reds,9,12:00 EST,
85,3.19,Athletics,Athletics,9,1:00 EST,
86,3.20,Padres,Padres,9,2:00 EST,
87,3.21,Dodgers,Dodgers,9,3:00 EST,
88,3.22,White Sox,White Sox,9,4:00 EST,
89,3.23,Blue Jays,Blue Jays,9,5:00 EST,
90,3.24,Rockies,Orioles,9,6:00 EST,
91,3.25,Royals,Royals,10,9:00 EST,
92,3.26,Cubs,Cubs,10,10:00 EST,
93,3.27,Marlins,Guardians,10,11:00 EST,
94,3.28,Giants,Rays,10,12:00 EST,
95,3.29,Astros,Astros,10,1:00 EST,
96,3.30,Tigers,Tigers,10,2:00 EST,
97,C3.01,Cubs,Cubs,10,3:00 EST,
98,C3.02,Tigers,Tigers,10,4:00 EST,
99,4.01,Rays,Rays,10,5:00 EST,
100,4.02,Brewers,Brewers,10,6:00 EST,
101,4.03,Rangers,Rangers,11,9:00 EST,
102,4.04,Nationals,Nationals,11,10:00 EST,
103,4.05,Yankees,Yankees,11,11:00 EST,
104,4.06,Pirates,Pirates,11,12:00 EST,
105,4.07,Twins,Twins,11,1:00 EST,
106,4.08,Mariners,Mariners,11,2:00 EST,
107,4.09,Phillies,Phillies,11,3:00 EST,
108,4.10,Braves,Braves,11,4:00 EST,
109,4.11,Angels,Angels,11,5:00 EST,
110,4.12,Mets,Rangers,11,6:00 EST,
111,4.13,Cardinals,Cardinals,12,9:00 EST,
112,4.14,Diamondbacks,Diamondbacks,12,10:00 EST,
113,4.15,Orioles,Rays,12,11:00 EST,
114,4.16,Guardians,Pirates,12,12:00 EST,
115,4.17,Red Sox,Red Sox,12,1:00 EST,
116,4.18,Reds,Reds,12,2:00 EST,
117,4.19,Athletics,Athletics,12,3:00 EST,
118,4.20,Padres,Rangers,12,4:00 EST,
119,4.21,Dodgers,Dodgers,12,5:00 EST,
120,4.22,White Sox,White Sox,12,6:00 EST,
121,4.23,Blue Jays,Twins,13,9:00 EST,
122,4.24,Rockies,Rockies,13,10:00 EST,
123,4.25,Royals,Royals,13,11:00 EST,
124,4.26,Cubs,Cubs,13,12:00 EST,
125,4.27,Marlins,Guardians,13,1:00 EST,
126,4.28,Giants,Rangers,13,2:00 EST,
127,4.29,Astros,Astros,13,3:00 EST,
128,4.30,Tigers,Tigers,13,4:00 EST,
129,C4.01,Tigers,Tigers,13,5:00 EST,
130,5.01,Rays,Blue Jays,13,6:00 EST,
131,5.02,Brewers,Brewers,14,9:00 EST,
132,5.03,Rangers,Blue Jays,14,10:00 EST,
133,5.04,Nationals,Nationals,14,11:00 EST,
134,5.05,Yankees,Yankees,14,12:00 EST,
135,5.06,Pirates,Pirates,14,1:00 EST,
136,5.07,Twins,Twins,14,2:00 EST,
137,5.08,Mariners,Mariners,14,3:00 EST,
138,5.09,Phillies,Phillies,14,4:00 EST,
139,5.10,Braves,Braves,14,5:00 EST,
140,5.11,Angels,Angels,14,6:00 EST,
141,5.12,Mets,Mets,15,9:00 EST,
142,5.13,Cardinals,Cardinals,15,10:00 EST,
143,5.14,Diamondbacks,Diamondbacks,15,11:00 EST,
144,5.15,Orioles,Orioles,15,12:00 EST,
145,5.16,Guardians,Guardians,15,1:00 EST,
146,5.17,Red Sox,Red Sox,15,2:00 EST,
147,5.18,Reds,Reds,15,3:00 EST,
148,5.19,Athletics,Athletics,15,4:00 EST,
149,5.20,Padres,Padres,15,5:00 EST,
150,5.21,Dodgers,Dodgers,15,6:00 EST,
151,5.22,White Sox,Angels,16,9:00 EST,
152,5.23,Blue Jays,Cardinals,16,10:00 EST,
153,5.24,Rockies,Rangers,16,11:00 EST,
154,5.25,Royals,Royals,16,12:00 EST,
155,5.26,Cubs,Astros,16,1:00 EST,
156,5.27,Marlins,Twins,16,2:00 EST,
157,5.28,Giants,Guardians,16,3:00 EST,
158,5.29,Astros,Royals,16,4:00 EST,
159,5.30,Tigers,Royals,16,5:00 EST,
160,6.01,Rays,Rays,16,6:00 EST,
161,6.02,Brewers,Brewers,17,9:00 EST,
162,6.03,Rangers,Rangers,17,10:00 EST,
163,6.04,Nationals,Nationals,17,11:00 EST,
164,6.05,Yankees,Yankees,17,12:00 EST,
165,6.06,Pirates,Pirates,17,1:00 EST,
166,6.07,Twins,Twins,17,2:00 EST,
167,6.08,Mariners,Mariners,17,3:00 EST,
168,6.09,Phillies,Phillies,17,4:00 EST,
169,6.10,Braves,Braves,17,5:00 EST,
170,6.11,Angels,Angels,17,6:00 EST,
171,6.12,Mets,Mets,18,9:00 EST,
172,6.13,Cardinals,Cardinals,18,10:00 EST,
173,6.14,Diamondbacks,Diamondbacks,18,11:00 EST,
174,6.15,Orioles,Orioles,18,12:00 EST,
175,6.16,Guardians,Brewers,18,1:00 EST,
176,6.17,Red Sox,Red Sox,18,2:00 EST,
177,6.18,Reds,Reds,18,3:00 EST,
178,6.19,Athletics,Athletics,18,4:00 EST,
179,6.20,Padres,Padres,18,5:00 EST,
180,6.21,Dodgers,Dodgers,18,6:00 EST,
181,6.22,White Sox,White Sox,19,9:00 EST,
182,6.23,Blue Jays,Blue Jays,19,10:00 EST,
183,6.24,Rockies,Blue Jays,19,11:00 EST,
184,6.25,Royals,Brewers,19,12:00 EST,
185,6.26,Cubs,Cubs,19,1:00 EST,
186,6.27,Marlins,Guardians,19,2:00 EST,
187,6.28,Giants,Giants,19,3:00 EST,
188,6.29,Astros,Padres,19,4:00 EST,
189,6.30,Tigers,Tigers,19,5:00 EST,
190,7.01,Rays,Blue Jays,19,6:00 EST,
191,7.02,Brewers,Brewers,20,9:00 EST,
192,7.03,Rangers,Rangers,20,10:00 EST,
193,7.04,Nationals,Nationals,20,11:00 EST,
194,7.05,Yankees,Yankees,20,12:00 EST,
195,7.06,Pirates,Pirates,20,1:00 EST,
196,7.07,Twins,Twins,20,2:00 EST,
197,7.08,Mariners,Mariners,20,3:00 EST,
198,7.09,Phillies,Phillies,20,4:00 EST,
199,7.10,Braves,Braves,20,5:00 EST,
200,7.11,Angels,Angels,20,6:00 EST,
201,7.12,Mets,Mets,21,9:00 EST,
202,7.13,Cardinals,Cardinals,21,10:00 EST,
203,7.14,Diamondbacks,Diamondbacks,21,11:00 EST,
204,7.15,Orioles,Orioles,21,12:00 EST,
205,7.16,Guardians,Tigers,21,1:00 EST,
206,7.17,Red Sox,Red Sox,21,2:00 EST,
207,7.18,Reds,Reds,21,3:00 EST,
208,7.19,Athletics,Athletics,21,4:00 EST,
209,7.20,Padres,Rangers,21,5:00 EST,
210,7.21,Dodgers,Dodgers,21,6:00 EST,
211,7.22,White Sox,White Sox,22,9:00 EST,
212,7.23,Blue Jays,Padres,22,10:00 EST,
213,7.24,Rockies,Rockies,22,11:00 EST,
214,7.25,Royals,Marlins,22,12:00 EST,
215,7.26,Cubs,Cubs,22,1:00 EST,
216,7.27,Marlins,Cardinals,22,2:00 EST,
217,7.28,Giants,Giants,22,3:00 EST,
218,7.29,Astros,Astros,22,4:00 EST,
219,7.30,Tigers,Tigers,22,5:00 EST,
220,8.01,Rays,Marlins,22,6:00 EST,
221,8.02,Brewers,Brewers,23,9:00 EST,
222,8.03,Rangers,Rangers,23,10:00 EST,
223,8.04,Nationals,Nationals,23,11:00 EST,
224,8.05,Yankees,Yankees,23,12:00 EST,
225,8.06,Pirates,Pirates,23,1:00 EST,
226,8.07,Twins,Twins,23,2:00 EST,
227,8.08,Mariners,Mariners,23,3:00 EST,
228,8.09,Phillies,Phillies,23,4:00 EST,
229,8.10,Braves,Braves,23,5:00 EST,
230,8.11,Angels,Angels,23,6:00 EST,
231,8.12,Mets,Mets,24,9:00 EST,
232,8.13,Cardinals,Cardinals,24,10:00 EST,
233,8.14,Diamondbacks,Diamondbacks,24,11:00 EST,
234,8.15,Orioles,Rays,24,12:00 EST,
235,8.16,Guardians,Marlins,24,1:00 EST,
236,8.17,Red Sox,Red Sox,24,2:00 EST,
237,8.18,Reds,Reds,24,3:00 EST,
238,8.19,Athletics,Athletics,24,4:00 EST,
239,8.20,Padres,Padres,24,5:00 EST,
240,8.21,Dodgers,Dodgers,24,6:00 EST,
241,8.22,White Sox,White Sox,25,9:00 EST,
242,8.23,Blue Jays,Twins,25,10:00 EST,
243,8.24,Rockies,Rockies,25,11:00 EST,
244,8.25,Royals,Royals,25,12:00 EST,
245,8.26,Cubs,Cubs,25,1:00 EST,
246,8.27,Marlins,Blue Jays,25,2:00 EST,
247,8.28,Giants,Giants,25,3:00 EST,
248,8.29,Astros,Astros,25,4:00 EST,
249,8.30,Tigers,Tigers,25,5:00 EST,
250,9.01,Rays,Rays,25,6:00 EST,
251,9.02,Brewers,Brewers,26,9:00 EST,
252,9.03,Rangers,Giants,26,10:00 EST,
253,9.04,Nationals,Nationals,26,11:00 EST,
254,9.05,Yankees,Yankees,26,12:00 EST,
255,9.06,Pirates,Pirates,26,1:00 EST,
256,9.07,Twins,White Sox,26,2:00 EST,
257,9.08,Mariners,Mariners,26,3:00 EST,
258,9.09,Phillies,Phillies,26,4:00 EST,
259,9.10,Braves,Braves,26,5:00 EST,
260,9.11,Angels,Angels,26,6:00 EST,
261,9.12,Mets,Mets,27,9:00 EST,
262,9.13,Cardinals,Rangers,27,10:00 EST,
263,9.14,Diamondbacks,Diamondbacks,27,11:00 EST,
264,9.15,Orioles,Orioles,27,12:00 EST,
265,9.16,Guardians,Royals,27,1:00 EST,
266,9.17,Red Sox,Red Sox,27,2:00 EST,
267,9.18,Reds,Reds,27,3:00 EST,
268,9.19,Athletics,Athletics,27,4:00 EST,
269,9.20,Padres,Orioles,27,5:00 EST,
270,9.21,Dodgers,Dodgers,27,6:00 EST,
271,9.22,White Sox,Reds,28,9:00 EST,
272,9.23,Blue Jays,Rays,28,10:00 EST,
273,9.24,Rockies,Rockies,28,11:00 EST,
274,9.25,Royals,Royals,28,12:00 EST,
275,9.26,Cubs,Cubs,28,1:00 EST,
276,9.27,Marlins,Marlins,28,2:00 EST,
277,9.28,Giants,Giants,28,3:00 EST,
278,9.29,Astros,Astros,28,4:00 EST,
279,9.30,Tigers,Tigers,28,5:00 EST,
280,10.01,Rays,Rays,28,6:00 EST,
281,10.02,Brewers,Brewers,29,9:00 EST,
282,10.03,Rangers,Marlins,29,10:00 EST,
283,10.04,Nationals,Nationals,29,11:00 EST,
284,10.05,Yankees,Rays,29,12:00 EST,
285,10.06,Pirates,Pirates,29,1:00 EST,
286,10.07,Twins,Rockies,29,2:00 EST,
287,10.08,Mariners,Mariners,29,3:00 EST,
288,10.09,Phillies,Rays,29,4:00 EST,
289,10.10,Braves,Braves,29,5:00 EST,
290,10.11,Angels,Angels,29,6:00 EST,
291,10.12,Mets,Mets,30,9:00 EST,
292,10.13,Cardinals,Marlins,30,10:00 EST,
293,10.14,Diamondbacks,Diamondbacks,30,11:00 EST,
294,10.15,Orioles,Twins,30,12:00 EST,
295,10.16,Guardians,Giants,30,1:00 EST,
296,10.17,Red Sox,Red Sox,30,2:00 EST,
297,10.18,Reds,Reds,30,3:00 EST,
298,10.19,Athletics,Athletics,30,4:00 EST,
299,10.20,Padres,Dodgers,30,5:00 EST,
300,10.21,Dodgers,Dodgers,30,6:00 EST,
301,10.22,White Sox,White Sox,31,9:00 EST,
302,10.23,Blue Jays,Royals,31,10:00 EST,
303,10.24,Rockies,Rockies,31,11:00 EST,
304,10.25,Royals,Guardians,31,12:00 EST,
305,10.26,Cubs,Dodgers,31,1:00 EST,
306,10.27,Marlins,Padres,31,2:00 EST,
307,10.28,Giants,Giants,31,3:00 EST,
308,10.29,Astros,Astros,31,4:00 EST,
309,10.30,Tigers,Tigers,31,5:00 EST,